fid,samp,mass,vv,tlh,tdh,trh,t2,tmax,intertidal,replicate,mod,hi,NJ,m,year,,,,,
1,1,0.1,3,3,1,0,0,0,1,1,0,0,0,1,2015,,,,,
2,1,0.01,3,3,1,0,0,0,1,1,0,0,0,1,2015,,,,,
3,1,0.001,3,3,0,0,0,0,1,1,0,0,0,1,2015,,,,,
4,1,0.0001,3,1,0,0,0,0,1,1,0,0,0,1,2015,,,,,
5,1,0.00001,2,0,0,0,0,0,1,1,0,0,0,1,2015,,,,,
6,1,0.000001,0,0,0,0,0,0,1,1,0,0,0,1,2015,,,,,
7,2,0.1,3,3,0,0,0,0,1,2,0,0,0,1,2015,,,,,
8,2,0.01,3,3,1,0,0,0,1,2,0,0,0,1,2015,,,,,
9,2,0.001,3,3,1,0,0,0,1,2,0,0,0,1,2015,,,,,
10,2,0.0001,3,1,0,0,0,0,1,2,0,0,0,1,2015,,,,,
11,2,0.00001,2,1,0,0,0,0,1,2,0,0,0,1,2015,,,,,
12,2,0.000001,1,0,0,0,0,0,1,2,0,0,0,1,2015,,,,,
13,3,0.1,3,3,0,0,0,0,1,3,0,0,0,1,2015,,,,,
14,3,0.01,3,3,1,0,0,0,1,3,0,0,0,1,2015,,,,,
15,3,0.001,3,3,0,0,0,0,1,3,0,0,0,1,2015,,,,,
16,3,0.0001,3,1,0,0,0,0,1,3,0,0,0,1,2015,,,,,
17,3,0.00001,1,0,0,0,0,0,1,3,0,0,0,1,2015,,,,,
18,3,0.000001,0,0,0,0,0,0,1,3,0,0,0,1,2015,,,,,
19,4,0.1,3,3,0,0,0,0,1,4,0,0,0,1,2015,,,,,
20,4,0.01,3,3,0,0,0,0,1,4,0,0,0,1,2015,,,,,
21,4,0.001,3,3,0,0,0,0,1,4,0,0,0,1,2015,,,,,
22,4,0.0001,3,1,0,0,0,0,1,4,0,0,0,1,2015,,,,,
23,4,0.00001,0,0,0,0,0,0,1,4,0,0,0,1,2015,,,,,
24,4,0.000001,0,0,0,0,0,0,1,4,0,0,0,1,2015,,,,,
25,5,0.1,3,3,0,0,0,0,0,1,0,0,0,1,2015,,,,,
26,5,0.01,3,3,1,0,0,0,0,1,0,0,0,1,2015,,,,,
27,5,0.001,3,3,0,1,0,0,0,1,0,0,0,1,2015,,,,,
28,5,0.0001,3,2,0,0,0,0,0,1,0,0,0,1,2015,,,,,
29,5,0.00001,2,0,0,0,0,0,0,1,0,0,0,1,2015,,,,,
30,5,0.000001,1,0,0,0,0,0,0,1,0,0,0,1,2015,,,,,
31,6,0.1,3,3,0,0,0,0,0,2,0,0,0,1,2015,,,,,
32,6,0.01,3,3,1,1,0,0,0,2,0,0,0,1,2015,,,,,
33,6,0.001,3,3,0,0,0,0,0,2,0,0,0,1,2015,,,,,
34,6,0.0001,3,2,0,0,0,0,0,2,0,0,0,1,2015,,,,,
35,6,0.00001,2,0,0,0,0,0,0,2,0,0,0,1,2015,,,,,
36,6,0.000001,0,0,0,0,0,0,0,2,0,0,0,1,2015,,,,,
37,7,0.1,3,3,0,0,0,0,0,3,0,0,0,1,2015,,,,,
38,7,0.01,3,3,0,0,0,0,0,3,0,0,0,1,2015,,,,,
39,7,0.001,3,2,0,0,0,0,0,3,0,0,0,1,2015,,,,,
40,7,0.0001,3,0,0,0,0,0,0,3,0,0,0,1,2015,,,,,
41,7,0.00001,1,0,0,0,0,0,0,3,0,0,0,1,2015,,,,,
42,7,0.000001,0,0,0,0,0,0,0,3,0,0,0,1,2015,,,,,
43,8,0.1,3,3,1,0,0,0,0,4,0,0,0,1,2015,,,,,
44,8,0.01,3,3,0,0,0,0,0,4,0,0,0,1,2015,,,,,
45,8,0.001,3,1,0,0,0,0,0,4,0,0,0,1,2015,,,,,
46,8,0.0001,3,0,0,0,0,0,0,4,0,0,0,1,2015,,,,,
47,8,0.00001,1,0,0,0,0,0,0,4,0,0,0,1,2015,,,,,
48,8,0.000001,1,0,0,0,0,0,0,4,0,0,0,1,2015,,,,,
49,9,0.1,3,3,0,0,1,0,1,1,0,0,0,1,2015,,,,,
50,9,0.01,3,3,1,1,1,0,1,1,0,0,0,1,2015,,,,,
51,9,0.001,3,3,0,0,1,0,1,1,0,0,0,1,2015,,,,,
52,9,0.0001,3,3,0,0,1,0,1,1,0,0,0,1,2015,,,,,
53,9,0.00001,2,0,0,0,1,0,1,1,0,0,0,1,2015,,,,,
